,type,title,doi,rescreen_7
53,stroke,Combinations of Optimization Method and Balancing Technique in Hypertension Classification with Machine Learning,10.35882/ijeeemi.v7i2.86,no
54,stroke,Stroke Prediction with Enhanced Gradient Boosting Classifier and Strategic Hyperparameter,10.30812/matrik.v23i2.3555,no
55,stroke,Web Design for Stroke Early Detection Using Decision Tree C5.0, 10.33751/komputasi.v20i2.8265,no
56,stroke,A machine learning approach for predictings stroke,10.53388/MDM202407015,no
57,stroke,Explainable and Interpretable Model for the Early Detection of Brain Stroke Using Optimized Boosting Algorithms,10.3390/diagnostics14222514,no
58,stroke,Comparison of Classification and Regression Model Approaches on the Main Causes of Stroke with Symbolic Regression Feyn Qlattice,10.59247/jahir.v1i2.87,no
59,stroke,"Improving stroke risk prediction by integrating XGBoost, optimized principal component analysis, and explainable artificial intelligence",10.1186/s12911-025-02894-z,no
60,stroke,Predictive modelling and identification of key risk factors for stroke using machine learning,10.1038/s41598-024-61665-4,no
61,stroke,SPE: Ensemble Hybrid Machine Learning Model for Efficient Diagnosis of Brain Stroke towards Clinical Decision Support System (CDSS) ,na,no
62,stroke,Pre-Diagnosing the Stroke Using Artificial Neural Network ,10.14704/nq.2022.20.10.NQ55093,no
63,stroke,Unveiling the potential of machine learning approaches in predicting the emergence of stroke at its onset: a predicting framework,10.1038/s41598-024-70354-1,no
64,stroke,Comparison of Machine Learning and Deep Learning Techniques for Stroke Prediction,10.29137/umagd.1432162,no
65,stroke,BrainOK: Brain Stroke Prediction using Machine Learning,na,no
66,stroke,Enhancing stroke prediction using the waikato environment for knowledge analysis,10.11591/ijai.v13.i3.pp3010-3017,no
67,stroke,Robust classification model for identifying stroke patients utilising a machine learning-based ensemble stacking method,10.1088/2631-8695/adad3a,no
68,stroke,Machine Learning Prediction of Brain Stroke at an Early Stage,10.24996/ijs.2023.64.12.39,no
69,stroke,Health Seek: A Deep Learning-Based Intelligent System to Aid Medical Diagnosis,10.4236/jbise.2022.151007,no
70,stroke,"Classification of stroke patients using data mining with AdaBoost, Decision Tree and Random Forest models",10.33096/ilkom.v14i3.1328.218-228,no
71,stroke,A new stroke prediction model combined algorithm based on artificial neural networks and logistic regression,10.1117/12.2656802,no
72,stroke,Prediction of Stroke Disease with Demographic and Behavioural Data Using Random Forest Algorithm,10.3390/analytics2030034,no
